"","x"
"1","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720170001&lng=pt&nrm=iso"
"2","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720180001&lng=pt&nrm=iso"
"3","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720170002&lng=pt&nrm=iso"
"4","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720170003&lng=pt&nrm=iso"
"5","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720180002&lng=pt&nrm=iso"
"6","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720180003&lng=pt&nrm=iso"
"7","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720170004&lng=pt&nrm=iso"
"8","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720180004&lng=en&nrm=iso"
"9","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720170005&lng=en&nrm=iso"
"10","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720180005&lng=en&nrm=iso"
"11","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720190001&lng=en&nrm=iso"
"12","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720190002&lng=pt&nrm=iso"
"13","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720190003&lng=pt&nrm=iso"
"14","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720190004&lng=pt&nrm=iso"
"15","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720160002&lng=pt&nrm=iso"
"16","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720140001&lng=en&nrm=iso"
"17","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720140002&lng=en&nrm=iso"
"18","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720130001&lng=en&nrm=iso"
"19","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720120001&lng=en&nrm=iso"
"20","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720130002&lng=en&nrm=iso"
"21","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720120002&lng=en&nrm=iso"
"22","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720110001&lng=en&nrm=iso"
"23","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720100001&lng=en&nrm=iso"
"24","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720090001&lng=en&nrm=iso"
"25","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720080001&lng=en&nrm=iso"
"26","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070001&lng=en&nrm=iso"
"27","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720110002&lng=en&nrm=iso"
"28","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720100002&lng=en&nrm=iso"
"29","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720090002&lng=en&nrm=iso"
"30","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720080002&lng=en&nrm=iso"
"31","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070002&lng=en&nrm=iso"
"32","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720060001&lng=en&nrm=iso"
"33","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720060002&lng=en&nrm=iso"
"34","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720140003&lng=en&nrm=iso"
"35","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720130003&lng=en&nrm=iso"
"36","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720120003&lng=en&nrm=iso"
"37","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720110003&lng=en&nrm=iso"
"38","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720100003&lng=en&nrm=iso"
"39","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720090003&lng=en&nrm=iso"
"40","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720080003&lng=en&nrm=iso"
"41","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070003&lng=en&nrm=iso"
"42","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720060003&lng=en&nrm=iso"
"43","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720050001&lng=en&nrm=iso"
"44","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720050002&lng=en&nrm=iso"
"45","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720050003&lng=en&nrm=iso"
"46","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720040001&lng=en&nrm=iso"
"47","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720040002&lng=en&nrm=iso"
"48","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720160004&lng=pt&nrm=iso"
"49","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720150004&lng=pt&nrm=iso"
"50","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720140004&lng=en&nrm=iso"
"51","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720140005&lng=en&nrm=iso"
"52","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720130004&lng=en&nrm=iso"
"53","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720120004&lng=en&nrm=iso"
"54","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720120005&lng=en&nrm=iso"
"55","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720120006&lng=en&nrm=iso"
"56","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720110004&lng=en&nrm=iso"
"57","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720100004&lng=en&nrm=iso"
"58","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720090004&lng=en&nrm=iso"
"59","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720080004&lng=en&nrm=iso"
"60","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070004&lng=en&nrm=iso"
"61","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720080005&lng=en&nrm=iso"
"62","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070005&lng=en&nrm=iso"
"63","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720070006&lng=en&nrm=iso"
"64","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720060004&lng=en&nrm=iso"
"65","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720050004&lng=en&nrm=iso"
"66","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720050005&lng=en&nrm=iso"
"67","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720040004&lng=en&nrm=iso"
"68","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720030001&lng=en&nrm=iso"
"69","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720030002&lng=en&nrm=iso"
"70","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720030003&lng=en&nrm=iso"
"71","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720030004&lng=en&nrm=iso"
"72","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720020001&lng=en&nrm=iso"
"73","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720020002&lng=en&nrm=iso"
"74","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720010001&lng=en&nrm=iso"
"75","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720020003&lng=en&nrm=iso"
"76","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720020004&lng=en&nrm=iso"
"77","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720000001&lng=en&nrm=iso"
"78","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720000002&lng=en&nrm=iso"
"79","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720000003&lng=en&nrm=iso"
"80","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475720000004&lng=en&nrm=iso"
"81","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475719990001&lng=en&nrm=iso"
"82","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475719990002&lng=en&nrm=iso"
"83","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475719990003&lng=en&nrm=iso"
"84","http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1415-475719990004&lng=en&nrm=iso"
